,MSE,MAE,R²,RMSE
Linear Regression,37.7018655265649,4.867708294486964,0.6397817235758008,6.140184486362352
Random Forest,37.839012028850796,4.861677137455093,0.6384713725896878,6.151342294885792
LightGBM,37.782361108208235,4.863096578905062,0.6390126375034181,6.146735809208676
