,MSE,MAE,R²,RMSE,Valid_Predictions,Total_Predictions
Linear Regression,37.7018655265649,4.867708294486964,0.6397817235758008,6.140184486362352,7425.0,7425.0
3-Game Rolling Average,76.83688365132811,6.69986531986532,0.2658705502202253,8.765665043299801,7425.0,7425.0
5-Game Rolling Average,69.39219240553685,6.349488215488215,0.33700002383154326,8.330197621037382,7425.0,7425.0
